Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
вулиця Сумська,вул. Сумська,"Сумська вул., 110",Маяковського вул.,до Південного  Вокзалу,Київ.,,,●
вулиця Весніна,вул. Мироносицька (вул. Весніна),"Мироносицька вул., 97",Мироносицька вул.,до Південного  Вокзалу,Київ.,,,●
вулиця Весніна,вул. Мироносицька (вул. Весніна),"Мироносицька вул., 92",Мироносицька вул.,до Лісопарку,Київ.,,,●
Парк ім. Горького,парк ім. Горького,Мироносицька вул.,Мироносицька вул.,на Салтівку,Київ.,●,,
Парк ім. Горького,парк ім. Горького,Мироносицька вул.,Мироносицька вул.,до Лісопарку,Київ.,,,●
Парк ім. Горького,парк ім. Горького,"Сумська вул., 128",Мироносицька вул.,кінцева (до вул. Пушкінській),Київ.,,,●
Дитяча залізниця,Дитяча залізниця,"Сумська вул., 132",Сумська вул.,до Лісопарку,Київ.,,,●
Дитяча залізниця,Дитяча залізниця,"Сумська вул., 132",Сумська вул.,до центру,Київ.,,,●
Сокільники,Сокольники,"Сумська вул., 134",Сумська вул.,до центру,Київ.,,,●
Сокільники,Сокольники,"Сумська вул., 134",Сумська вул.,до Лісопарку,Київ.,,,●
вулиця Макаренка,вул. Макаренко (Підстанція),"Білгородське шосе, 7а",Білгородське шосе,до Лісопарку,Київ.,●,,
вулиця Макаренка,вул. Макаренко (Підстанція),"Білгородське шосе, 7а",Білгородське шосе,до центру,Київ.,,,●
вулиця Макаренка,вул. Макаренко (Підстанція),"Білгородське шосе, 7а",Білгородське шосе,до Лісопарку,Київ.,,,●
Меморіал Слави,Меморіал Слави,Білгородське шосе,Білгородське шосе,до сел. Жуковського,Київ.,,,●
Меморіал Слави,Меморіал Слави,Білгородське шосе,Білгородське шосе,до сел. Жуковського,Київ.,●,,
Меморіал Слави,Меморіал Слави,Білгородське шосе,Білгородське шосе,до центру,Київ.,,,●
Лісопарк,Лісопарк,"Білгородське шосе, 8",Білгородське шосе,"кінцева, посадка",Київ.,,,●
провулок Короленка,пров. Короленка,"Московський просп., 7",Московський просп.,до парку ім. Горького,Київ.,●,,●
